route_ref,highway_type,lanes,maxspeed_kmh,length_km,midpoint_lat,midpoint_lon
225,primary,,,0.01,30.98645,34.9324
225,primary,,,0.007,30.98642,34.93248
225,primary,,,0.037,30.9854,34.93491
225,primary,,,0.015,30.98555,34.93475
225,primary,,,0.011,30.98875,34.92467
225,primary,,,0.016,30.989,34.91991
225,primary,,,0.005,30.98898,34.91981
225,primary,,,0.005,30.98698,34.93109
225,primary,,,0.019,30.98431,34.93693
225,primary,,,0.009,30.98658,34.9325
225,primary,,,0.005,30.987,34.93104
227,primary,,,0.555,30.8876,35.13969
227,primary,,,0.737,30.96419,35.05305
227,primary,,,9.891,30.93458,35.12292
227,primary,,,4.4,30.91978,35.13338
227,primary,,,2.346,30.89773,35.13187
227,primary,,,13.395,30.84241,35.20044
23,trunk,1,70.0,0.038,32.79099,34.95747
23,trunk,1,40.0,0.218,32.7931,34.96069
23,trunk,1,70.0,0.146,32.78965,34.9569
23,trunk,1,70.0,0.1,32.79043,34.95716
23,trunk,2,50.0,0.012,32.79249,34.96727
23,trunk,6,30.0,0.176,32.79065,35.0282
23,trunk,,70.0,0.06,32.79155,35.02931
23,trunk,,70.0,0.066,32.79136,35.02937
23,trunk,5,30.0,0.029,32.79134,35.02893
23,trunk,2,60.0,0.013,32.7929,34.96714
23,trunk,5,70.0,0.017,32.79115,35.02905
23,trunk,6,30.0,0.179,32.79085,35.02803
23,trunk,2,70.0,0.164,32.79173,34.95824
23,trunk,1,40.0,0.039,32.79218,34.96162
23,trunk,5,70.0,0.011,32.79121,35.02915
232,primary,,,0.014,31.50766,34.58692
232,primary,,,0.709,31.53217,34.61176
232,primary,,,7.739,31.59979,34.6504
232,primary,,,1.01,31.71727,34.64448
232,primary,2,,1.771,31.43053,34.49723
232,primary,,,0.017,31.72431,34.63576
232,primary,,,0.661,31.50941,34.59095
232,primary,,,0.922,31.5195,34.60072
232,primary,,,0.173,31.72355,34.6371
232,primary,,,0.046,31.40038,34.47448
232,primary,,,2.631,31.39056,34.46334
232,primary,2,,3.911,31.45579,34.52369
232,primary,,,0.131,31.51433,34.59714
232,primary,,,6.842,31.32445,34.44243
232,primary,,,0.077,31.38633,34.44981
232,primary,,,0.015,31.50865,34.58625
232,primary,,,0.031,31.46996,34.52878
232,primary,1,,0.014,31.68242,34.65169
232,primary,,,0.021,31.68345,34.6531
232,primary,,,0.013,31.68306,34.65338
232,primary,,,3.474,31.69881,34.64748
232,primary,,,0.017,31.72173,34.6395
232,primary,,,0.1,31.71374,34.64346
232,primary,1,,0.013,31.68254,34.65169
232,primary,1,,0.031,31.68245,34.65178
232,primary,1,,0.027,31.68231,34.65173
232,primary,,,0.041,31.6834,34.6532
232,primary,,,0.013,31.68295,34.65339
232,primary,,,0.021,31.72427,34.63584
232,primary,,,0.013,31.72417,34.63603
232,primary,1,,0.03,31.67915,34.65219
232,primary,2,90.0,0.425,31.23195,34.35335
232,primary,2,90.0,0.497,31.25846,34.40629
232,primary,2,80.0,1.508,31.2089,34.28493
232,primary,2,90.0,6.477,31.22319,34.32734
232,primary,2,90.0,6.332,31.22136,34.32208
232,primary,,,0.173,31.72225,34.63897
232,primary,,,0.423,31.51216,34.59574
232,primary,,,0.019,31.51032,34.59361
232,primary,,,0.014,31.50866,34.5864
232,primary,,,0.032,31.50858,34.58608
232,primary,,,5.811,31.50335,34.55388
232,primary,,,0.015,31.50765,34.58685
232,primary,,,0.06,31.5077,34.58706
232,primary,,,0.031,31.51462,34.59715
232,primary,,,0.11,31.51449,34.59741
232,primary,,,0.023,31.51319,34.59665
232,primary,,,0.038,31.50779,34.58702
232,primary,,,0.051,31.5131,34.59665
232,primary,,,0.01,31.51335,34.59683
232,primary,,,3.718,31.41085,34.48777
232,primary,,,0.044,31.26958,34.43196
232,primary,,,0.018,31.55608,34.63149
232,primary,,,0.014,31.55807,34.63311
232,primary,,,2.847,31.54317,34.62107
232,primary,,,0.008,31.51038,34.59372
232,primary,,,0.358,31.51204,34.59582
232,primary,,,0.02,31.51042,34.59379
232,primary,1,,0.018,31.65316,34.66361
232,primary,1,,0.03,31.67888,34.65211
232,primary,1,,0.342,31.68031,34.65232
232,primary,1,,0.343,31.68017,34.65223
232,primary,1,,0.027,31.65401,34.66238
232,primary,2,,0.026,31.65383,34.66217
232,primary,2,,0.025,31.65377,34.66218
232,primary,2,,0.017,31.65327,34.66375
232,primary,1,,0.039,31.65301,34.66352
232,primary,1,,0.058,31.65268,34.66342
232,primary,2,,0.054,31.65312,34.66372
232,primary,2,,0.067,31.65433,34.66242
232,primary,2,,0.043,31.65254,34.66342
232,primary,,,0.022,31.68346,34.65314
232,primary,,,0.04,31.68304,34.6533
232,primary,,,0.049,31.46526,34.53397
232,primary,,,0.045,31.46525,34.53405
232,primary,,,0.172,31.55703,34.63212
232,primary,,,0.033,31.55835,34.63329
232,primary,,,0.032,31.55836,34.63339
232,primary,,,0.032,31.55798,34.63299
232,primary,,,0.031,31.558,34.63309
232,primary,,,0.043,31.55644,34.63164
232,primary,,,0.042,31.55651,34.63176
232,primary,,,0.025,31.55599,34.63138
232,primary,,,0.028,31.55601,34.63146
232,primary,1,,0.019,31.65377,34.66221
232,primary,,,0.054,31.72204,34.63935
232,primary,,,0.055,31.72194,34.63933
232,primary,,,0.057,31.72166,34.63983
232,primary,,,0.057,31.72179,34.6398
232,primary,,,0.044,31.71385,34.64336
232,primary,,,0.043,31.71384,34.64346
232,primary,,,0.038,31.71343,34.64324
232,primary,,,0.038,31.71338,34.64331
232,primary,,,0.226,31.5155,34.59774
232,primary,,,0.225,31.51536,34.59783
232,primary,2,90.0,0.743,31.23174,34.35136
232,primary,2,90.0,0.01,31.23254,34.35653
232,primary,2,90.0,2.442,31.23426,34.3682
232,primary,2,90.0,0.013,31.24193,34.37717
232,primary,2,90.0,0.015,31.24201,34.37727
232,primary,2,90.0,1.357,31.23441,34.3683
232,primary,2,90.0,1.278,31.24961,34.38583
232,primary,2,90.0,0.959,31.23294,34.35925
232,primary,2,90.0,0.176,31.23217,34.35495
232,primary,2,90.0,0.022,31.25058,34.38793
