alert_rank_alltime,alert_rank_marapr2026,lat,lon,road,risk_score,lanes_weight,alerts_alltime_15km,alerts_marapr2026_15km,status,relocated_from_lat,relocated_from_lon,nearest_city,moved_km
110,116,33.04961,35.57252,90,4.0,1.5,8858,5572,relocated,33.03372,35.57237,חצור,1.76
111,110,32.72151,35.11213,75,1.8,1.5,8829,6095,rural,,,,
112,111,32.69288,35.04788,672,2.0,1.5,8741,6060,rural,,,,
113,104,32.44712,34.95452,65,1.8,1.5,8689,6846,rural,,,,
114,112,32.79078,35.00092,23,1.8,1.5,8679,5926,rural,,,,
115,119,31.61153,34.70348,352,2.0,1.0,8650,5206,rural,,,,
116,114,32.88117,35.42552,807,2.5,1.0,8520,5902,rural,,,,
117,121,32.98848,35.48381,89,4.0,1.5,8092,5165,rural,,,,
118,115,32.70578,35.17467,75,1.8,1.5,7992,5593,rural,,,,
119,117,32.70032,35.10152,6,1.5,1.5,7753,5378,rural,,,,
120,125,32.98997,35.56218,91,4.0,1.5,7589,4889,rural,,,,
121,120,32.73184,35.27114,79,1.8,1.5,7283,5167,rural,,,,
122,118,32.83909,35.39797,806,2.5,1.5,7215,5206,rural,,,,
123,123,32.67892,35.11712,722,2.0,1.5,7044,4908,rural,,,,
124,124,32.69409,35.22448,75,1.8,1.5,7005,4908,rural,,,,
125,127,32.95223,35.53767,89,4.0,1.5,6621,4336,rural,,,,
126,122,32.46053,34.98551,652,2.0,1.5,6466,5148,rural,,,,
127,139,31.64418,34.59254,4,1.8,1.5,6094,3157,rural,,,,
128,129,32.91129,35.4788,85,4.0,1.5,5956,3975,rural,,,,
129,126,32.4622,34.89597,2,1.5,2.0,5809,4559,rural,,,,
130,132,32.77177,34.95518,2,1.5,2.0,5650,3843,rural,,,,
131,128,32.8096,35.39803,785,2.5,1.0,5591,3998,rural,,,,
132,130,32.76037,35.34575,754,2.0,1.5,5521,3953,rural,,,,
133,133,32.85906,35.45391,65,4.0,1.5,5509,3816,rural,,,,
134,143,31.57012,34.65503,352,2.0,1.5,5294,2730,relocated,31.56878,34.6433,דורות עילית,1.12
135,148,31.56898,34.55008,4,4.0,1.5,5184,2277,rural,,,,
136,137,33.01364,35.62272,918,4.0,1.5,5163,3269,rural,,,,
137,135,32.91372,35.5429,85,4.0,1.5,4964,3333,rural,,,,
138,131,32.47906,34.9547,651,2.0,1.5,4955,3911,rural,,,,
139,134,31.61044,34.7496,40,1.8,1.5,4905,3761,rural,,,,
140,136,32.70411,34.96926,4,1.8,1.5,4818,3330,rural,,,,
141,141,32.71843,34.94844,2,1.5,2.0,4196,2891,rural,,,,
142,138,32.46737,35.01954,574,2.0,1.5,4106,3257,rural,,,,
143,146,32.96875,35.63829,888,4.0,1.0,3758,2458,rural,,,,
144,140,32.50084,34.91576,2,1.5,2.0,3744,2956,rural,,,,
145,160,31.53523,34.61384,232,4.0,1.0,3701,1562,rural,,,,
146,142,31.62894,34.84567,353,2.0,1.0,3641,2780,rural,,,,
147,145,31.61115,34.90326,35,1.8,1.5,3394,2563,rural,,,,
148,144,32.51077,34.95707,652,2.0,1.5,3375,2656,rural,,,,
149,147,32.76467,35.37671,77,1.8,1.5,3356,2373,rural,,,,
150,151,32.85177,35.48069,807,2.5,1.0,3256,2211,rural,,,,
151,149,32.68048,35.26942,75,1.8,1.5,3193,2247,rural,,,,
152,150,32.71164,35.30683,754,2.0,1.5,3168,2242,rural,,,,
153,152,32.63672,35.06427,672,2.0,1.5,3159,2192,rural,,,,
154,154,32.9042,35.63379,888,4.0,1.0,3122,2007,rural,,,,
155,167,31.5081,34.58674,34,4.0,1.5,2980,1082,rural,,,,
156,168,31.49138,34.55185,232,4.0,1.0,2980,1082,rural,,,,
157,155,32.83746,35.51055,90,4.0,1.5,2947,1983,rural,,,,
158,156,33.02488,35.67288,91,4.0,1.5,2945,1968,rural,,,,
159,153,32.66137,35.23909,73,1.8,1.5,2847,2013,rural,,,,
160,161,32.88681,35.58082,87,4.0,1.0,2431,1557,rural,,,,
161,157,32.5173,34.99246,654,2.0,1.0,2296,1768,rural,,,,
162,158,31.593,34.96153,35,1.8,1.5,2094,1591,rural,,,,
163,165,31.37831,34.82109,6,1.5,1.5,2042,1313,rural,,,,
164,166,31.29787,34.88736,60,1.8,2.0,2041,1287,rural,,,,
165,159,31.58466,34.8366,35,1.8,1.5,2018,1566,rural,,,,
166,162,31.4772,34.93064,358,2.0,1.0,1969,1527,rural,,,,
167,163,31.53612,34.91855,358,2.0,1.0,1969,1527,rural,,,,
168,164,31.41642,34.93574,354,2.0,1.0,1969,1527,rural,,,,
169,193,31.44584,34.57071,25,4.0,1.5,1719,620,rural,,,,
170,194,31.45198,34.59995,34,4.0,1.5,1719,620,rural,,,,
