lat,lon,road,risk_score,lanes_weight,nearby_alerts_15km,alert_rank
32.923386831175016,35.281014591808805,85,4.0,1.5,19575,177
32.833956869675006,35.12385538004311,79,1.8,1.5,19556,178
32.8222586,35.1495272,781,2.0,1.5,19513,179
33.0705856,35.1522145,70,4.0,1.5,19481,180
31.6835487,34.6530558,232,4.0,1.0,19356,181
31.681540499283685,34.6520032313883,232,2.0,1.0,19356,182
33.0350761,35.1046283,4,4.0,1.5,19228,183
33.0456259,35.105751,4,4.0,1.5,19228,184
32.8893397,35.2571165,784,2.0,1.0,19211,185
32.8881594,35.2563652,784,2.0,1.0,19211,186
33.025906,35.1038606,4,4.0,1.5,18934,187
33.0280395,35.1040938,4,4.0,1.5,18934,188
32.880303177611694,35.096606451629576,4,4.0,1.5,18785,189
32.36689131279233,34.909569696230605,4,1.8,1.5,18454,190
32.9232956543936,35.08658129103854,85,4.0,1.5,18113,191
32.8210789,35.2289327,784,2.0,1.0,18089,192
32.8246202,35.1642837,781,2.0,1.5,17884,193
32.9559206,35.3521151,864,4.0,1.0,17729,194
32.9165656,35.3708556,804,4.0,1.0,17545,195
32.9139081,35.3731314,804,4.0,1.0,17545,196
31.695743262298777,34.814553374574835,6,1.5,1.5,17405,197
32.8391522,35.2570998,784,2.0,1.0,17336,198
32.89628971298447,35.09340092865291,4,4.0,1.5,17232,199
32.804861280916654,35.15306421311178,79,1.8,1.5,16735,200
32.8588941,35.2651508,784,2.0,1.0,16693,201
32.8546517,35.2697224,784,2.0,1.0,16693,202
31.691702556301795,34.75999071966174,40,1.8,1.5,16547,203
32.3810254,34.9927793,581,2.0,1.0,16256,204
31.7084332,34.9496062,38,1.8,1.5,16168,205
32.381842776431014,34.865504899053654,2,1.5,2.0,15879,206
32.3930038,34.9222457,581,2.0,1.0,15784,207
32.3939574,34.9229473,581,2.0,1.0,15784,208
32.789281340118364,35.14009101290014,70,4.0,1.5,15774,209
32.8046325,35.1039729,780,2.0,1.5,15710,210
33.0207003,35.3327817,89,4.0,1.5,15541,211
32.8603856,35.3054985,805,2.0,1.0,15485,212
32.8102974,35.2521308,784,2.0,1.0,15370,213
32.8047591,35.2531465,784,2.0,1.0,15370,214
32.3967507,34.9261783,581,2.0,1.0,15353,215
32.787674697637186,35.19806003032284,79,1.8,1.5,15084,216
33.1217309,35.5689318,899,4.0,1.5,15024,217
32.7776371,35.1304571,6,1.5,1.5,14516,218
33.1114184,35.57241,90,4.0,1.5,14512,219
32.8007534,35.0759512,772,2.0,1.5,14454,220
32.8020933,35.0756636,772,2.0,1.5,14454,221
32.80872107036047,35.06727563794586,4,4.0,1.5,14142,222
31.6871427,35.0005348,375,2.0,1.0,14132,223
31.6893806,34.9452136,38,1.8,1.5,14118,224
32.40955294762806,34.90655238605616,9,1.5,2.0,13929,225
32.789671,35.0771117,772,2.0,1.5,13499,226
33.110978447537455,35.52242310932507,899,4.0,1.5,13140,227
31.684019519913033,34.946971123456066,38,1.8,1.5,13139,228
33.0934847,35.5508057,886,4.0,1.0,13052,229
33.05654783891944,35.34287806267837,899,4.0,1.5,12907,230
31.67995201007523,34.89796857432471,353,2.0,1.0,12891,231
33.026102,35.4052075,899,4.0,1.5,12689,232
32.76808105539662,35.225735699597045,79,1.8,1.5,12438,233
32.921254,35.4199923,85,4.0,1.5,12335,234
32.92215770048255,35.41759929800555,85,4.0,1.5,12335,235
32.8474956,35.3374729,804,2.0,1.0,12068,236
32.76225620002427,35.088862301533744,70,4.0,1.5,11992,237
32.9370986,35.4334603,866,4.0,1.0,11976,238
32.7597867,35.0777252,772,2.0,1.5,11681,239
33.08541815558415,35.483716153476244,899,4.0,1.5,11580,240
32.983253,35.443643,866,4.0,1.0,11561,241
32.76640312402676,35.24830307087988,77,1.8,1.5,11426,242
32.9373473,35.4378281,866,4.0,1.0,11328,243
33.062939925129015,35.50490748877646,886,4.0,1.0,11300,244
32.765842956162444,35.052788369673166,752,1.8,1.5,11049,245
32.767842633999415,35.05111659739909,752,1.8,1.5,11049,246
33.0201903,35.4392595,89,4.0,1.5,10770,247
32.80622220584033,35.01480501759874,22,1.5,1.5,10648,248
31.66082344998263,34.640626944562364,35,1.8,1.5,10606,249
32.77303369992547,35.28043871188423,77,1.8,1.5,10601,250
32.4136019,35.0084359,9,1.5,2.0,10534,251
