rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,matched_route,matched_highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,suggested_capacity,alert_seconds,lanes_weight,nearest_seg_dist_km
244,31.31285,34.99488,316,standard,0.0126,217,316,primary,80,6.67,8000,800,15.6,12,300,1.0,0.54
248,32.61908,35.05488,כביש חוצה ישראל,standard,0.01,1099,כביש חוצה ישראל,motorway,120,10.0,8000,800,15.6,12,300,1.5,0.49
249,32.53646,34.92907,כביש חיפה רעננה,standard,0.008,881,כביש חיפה רעננה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.02
250,31.25485,35.21055,31,standard,0.0069,753,31,trunk,90,7.5,6500,650,12.7,12,300,1.5,0.02
251,31.29801,35.13199,80,standard,0.0069,753,80,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.93
252,32.56323,34.95873,652,standard,0.0054,587,כיכר משה,primary,80,6.67,4000,400,7.8,6,300,1.0,0.01
253,32.52426,35.02544,653,standard,0.0054,587,653,primary,80,6.67,8000,800,15.6,12,300,1.0,0.07
254,31.2012,35.35995,דרך ים המלח,standard,0.0049,536,דרך ים המלח,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.18
255,31.19194,35.28031,31,standard,0.0049,536,31,trunk,90,7.5,6500,650,12.7,12,300,1.5,0.0
256,31.25015,35.36307,דרך ים המלח,standard,0.0049,536,דרך ים המלח,trunk,80,6.67,8000,800,15.6,12,300,1.5,0.02
257,32.5864,35.43541,717,standard,0.0047,510,717,primary,80,6.67,8000,800,15.6,12,300,1.0,1.21
258,31.25249,35.12599,80,standard,0.0046,500,80,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.06
259,31.2344,35.10819,80,standard,0.0046,500,80,trunk,90,7.5,4000,400,7.8,6,300,1.5,0.07
260,31.2565,35.09862,31,standard,0.0046,500,31,trunk,90,7.5,6500,650,12.7,12,300,1.5,0.22
261,31.16767,35.04596,80,standard,0.004,442,80,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.24
262,31.26291,35.02142,31,standard,0.004,442,31,trunk,90,7.5,6500,650,12.7,12,300,1.5,0.49
263,31.15683,34.995,80,standard,0.004,442,80,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
264,32.60198,35.08464,672,standard,0.004,440,672,primary,80,6.67,8000,800,15.6,12,300,1.5,0.0
265,32.71782,35.43847,דרך המושבות,standard,0.0036,232,767,primary,80,6.67,4000,400,7.8,6,300,1.0,0.01
266,30.61281,34.85762,40,gaza,0.0026,284,40,trunk,80,6.67,22000,2200,42.9,50,300,1.5,0.0
267,30.62719,34.80473,40,gaza,0.0026,284,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.0
268,30.6616,34.80929,40,gaza,0.0026,284,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.0
269,30.5665,34.90431,40,standard,0.0026,284,40,trunk,80,6.67,22000,2200,42.9,50,300,1.5,0.0
270,30.72685,34.77465,40,gaza,0.0026,284,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.07
271,31.14917,35.22181,258,standard,0.0026,283,258,primary,80,6.67,8000,800,15.6,12,300,1.0,0.0
273,31.31343,35.38376,דרך ים המלח,standard,0.0023,253,דרך ים המלח,trunk,80,6.67,8000,800,15.6,12,300,1.5,0.71
274,32.6126,35.54892,90,standard,0.0021,232,90,trunk,80,6.67,9000,900,17.6,20,300,1.5,0.41
275,32.70236,35.41203,65,standard,0.0021,232,65,trunk,80,6.67,24000,2400,46.8,50,300,1.5,0.28
276,32.66478,35.39644,65,standard,0.0021,232,65,trunk,80,6.67,24000,2400,46.8,50,300,1.5,0.07
277,32.59074,35.2921,60,standard,0.0021,232,60,primary,80,6.67,16000,1600,31.2,30,300,1.5,0.03
278,32.64101,35.32434,כביש עוקף עפולה מזרח,standard,0.0021,232,כביש עוקף עפולה מזרח,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.69
279,32.56021,35.35378,675,standard,0.0021,232,675,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
280,32.5798,35.39895,716,standard,0.0021,232,716,primary,80,6.67,4000,400,7.8,6,300,1.0,0.11
281,32.63534,35.39574,716,standard,0.0021,232,716,primary,80,6.67,8000,800,15.6,12,300,1.0,0.05
282,32.71608,35.46579,דרך המושבות,standard,0.0021,232,דרך המושבות,primary,80,6.67,4000,400,7.8,6,300,1.0,0.03
283,31.12478,35.01084,25,standard,0.0021,225,25,trunk,90,7.5,7000,700,13.7,12,300,1.5,2.79
285,32.55248,35.0312,כביש חוצה ישראל,standard,0.0,0,כביש חוצה ישראל,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.07
286,32.58001,35.04577,כביש חוצה ישראל,standard,0.0,0,כביש חוצה ישראל,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.0
287,32.61043,34.92748,כביש החוף,standard,0.0,0,כביש החוף,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.0
288,32.58656,34.92636,כביש החוף,standard,0.0,0,כביש החוף,motorway,90,7.5,8000,800,15.6,12,300,1.5,0.0
290,32.74157,35.56785,90,standard,0.0,0,90,trunk,80,6.67,9000,900,17.6,20,300,1.5,0.1
291,31.14138,35.36025,90,standard,0.0,0,90,trunk,60,5.0,9000,900,17.6,20,300,1.5,0.0
292,29.5441,34.95027,90,standard,0.0,0,90,trunk,70,5.83,9000,900,17.6,20,300,1.5,0.16
293,32.70484,35.58641,90,standard,0.0,0,כיכר צמח,trunk,90,7.5,4000,400,7.8,6,300,1.5,0.01
295,32.67837,35.5805,90,standard,0.0,0,90,trunk,80,6.67,9000,900,17.6,20,300,1.5,0.06
296,29.57788,34.96757,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
297,29.60913,34.98382,הערבה,standard,0.0,0,הערבה,trunk,30,2.5,8000,800,15.6,12,300,1.5,0.05
300,29.76344,35.01411,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
303,30.28384,34.99975,40,standard,0.0,0,40,trunk,80,6.67,22000,2200,42.9,50,300,1.5,0.35
304,30.81704,34.75609,40,gaza,0.0,0,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.08
305,30.78002,34.76921,40,gaza,0.0,0,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.0
310,30.04781,35.01047,12,standard,0.0,0,12,trunk,80,6.67,8000,800,15.6,12,300,1.5,0.24
311,31.05359,35.03088,25,standard,0.0,0,25,trunk,90,7.5,7000,700,13.7,12,300,1.5,0.0
312,31.06829,35.00661,25,standard,0.0,0,204,primary,90,7.5,4000,400,7.8,6,300,1.5,0.0
317,29.83364,35.02882,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.02
318,29.63183,34.88065,כביש הגבול המערבי,gaza,0.0,0,כביש הגבול המערבי,trunk,80,6.67,8000,800,15.6,12,300,1.5,0.11
319,29.77754,35.05858,Jordan Valley Highway,standard,0.0,0,65,trunk,100,8.33,24000,2400,46.8,50,300,1.5,0.1
320,30.13754,35.138,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,1.14
322,29.84431,34.83819,12,gaza,0.0,0,12,trunk,80,6.67,8000,800,15.6,12,300,1.5,1.05
324,30.48576,34.93315,40,standard,0.0,0,40,trunk,80,6.67,22000,2200,42.9,50,300,1.5,0.28
330,29.94978,34.91844,12,standard,0.0,0,12,trunk,80,6.67,8000,800,15.6,12,300,1.5,3.79
331,29.96941,35.06507,הערבה,standard,0.0,0,הערבה,trunk,70,5.83,8000,800,15.6,12,300,1.5,0.01
333,30.26971,35.13539,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.03
334,29.73907,34.85312,כביש הגבול המערבי,gaza,0.0,0,כביש הגבול המערבי,trunk,80,6.67,8000,800,15.6,12,300,1.5,0.42
335,31.03923,35.16624,25,standard,0.0,0,25,trunk,90,7.5,7000,700,13.7,12,300,1.5,1.0
336,29.70652,34.99732,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.02
337,30.37038,34.96243,40,standard,0.0,0,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,1.84
338,30.16144,35.01743,40,standard,0.0,0,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,2.36
343,31.07234,35.3971,90,standard,0.0,0,90,trunk,80,6.67,9000,900,17.6,20,300,1.5,2.75
345,29.89666,35.06371,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.01
346,30.05335,35.11309,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,2.79
347,30.87527,34.78662,40,gaza,0.0,0,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.03
350,32.5894,34.98374,ואדי מילק,standard,0.0,0,ואדי מילק,trunk,100,8.33,8000,800,15.6,12,300,1.5,0.28
357,29.90423,34.86291,12,gaza,0.0,0,12,trunk,80,6.67,8000,800,15.6,12,300,1.5,1.74
358,30.00362,34.9552,12,standard,0.0,0,12,trunk,80,6.67,8000,800,15.6,12,300,1.5,0.28
361,29.65814,34.99038,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,2.99
363,30.20251,35.13549,הערבה,standard,0.0,0,הערבה,trunk,90,7.5,8000,800,15.6,12,300,1.5,2.95
365,29.72945,35.03561,Jordan Valley Highway,standard,0.0,0,65,trunk,100,8.33,24000,2400,46.8,50,300,1.5,0.02
366,30.29091,35.09632,13,standard,0.0,0,13,trunk,90,7.5,8000,800,15.6,12,300,1.5,1.73
367,30.9957,34.92368,204,standard,0.0,0,204,primary,80,6.67,8000,800,15.6,12,300,1.5,0.27
368,32.57236,35.07668,672,standard,0.0,0,672,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
369,32.56674,35.26239,675,standard,0.0,0,675,primary,80,6.67,8000,800,15.6,12,300,1.5,0.03
370,30.91157,34.84372,204,gaza,0.0,0,204,primary,80,6.67,8000,800,15.6,12,300,1.5,0.44
371,29.55534,34.91334,דרך החוגגים,standard,0.0,0,דרך החוגגים,trunk,80,6.67,8000,800,15.6,12,300,1.0,0.13
374,32.59429,35.18035,66,standard,0.0,0,66,trunk,60,5.0,8000,800,15.6,12,300,1.0,0.09
375,31.00401,35.27512,מעלה תמר,standard,0.0,0,מעלה תמר,trunk,80,6.67,8000,800,15.6,12,300,1.0,0.03
377,30.92485,35.02487,206,standard,0.0,0,206,primary,80,6.67,8000,800,15.6,12,300,1.0,0.28
378,32.71419,35.54642,767,standard,0.0,0,767,primary,80,6.67,8000,800,15.6,12,300,1.0,0.03
380,30.93723,35.11694,227,standard,0.0,0,227,primary,80,6.67,8000,800,15.6,12,300,1.0,0.64
381,30.95248,35.01187,225,standard,0.0,0,225,primary,50,4.17,4000,400,7.8,6,300,1.0,2.03
382,31.01151,35.07848,206,standard,0.0,0,206,primary,80,6.67,8000,800,15.6,12,300,1.0,0.04
383,30.88774,35.13939,227,standard,0.0,0,227,primary,80,6.67,8000,800,15.6,12,300,1.0,0.03
384,30.9633,35.04934,227,standard,0.0,0,227,primary,80,6.67,8000,800,15.6,12,300,1.0,0.37
385,31.08317,35.21114,258,standard,0.0,0,258,primary,80,6.67,8000,800,15.6,12,300,1.0,2.92
