alert_rank,lat,lon,road,risk_score,lanes_weight,nearby_alerts_marapr2026,northern_sentinel
264,32.65122,35.37426,65,1.8,1.5,232,
265,32.60774,35.26712,65,1.8,1.5,232,
266,32.63828,35.3338,65,1.8,1.5,232,
267,32.7036,35.50631,767,2.5,1.0,232,
268,32.59921,35.16784,66,1.8,1.0,221,
269,31.41611,34.60849,293,4.0,1.5,211,
270,31.43549,34.67824,293,4.0,1.5,106,
271,31.3856,34.61438,25,1.8,1.5,105,
272,32.51401,35.31115,60,1.8,2.0,0,
273,32.60645,34.92707,2,1.5,2.0,0,
274,30.88117,34.4019,211,4.0,1.5,0,
275,31.32144,34.61589,241,4.0,1.5,0,
276,30.95722,34.61477,211,4.0,1.5,0,
277,30.9137,34.52661,211,4.0,1.5,0,
278,30.96208,34.71125,211,4.0,1.5,0,
279,32.78341,35.54313,90,2.5,1.5,0,
280,32.73662,35.56866,90,2.5,1.5,0,
281,32.703,35.58675,90,2.5,1.5,0,
282,31.15164,35.53052,65,2.5,1.5,0,
283,31.28628,35.53255,65,2.5,1.5,0,
284,31.08926,35.51606,65,2.5,1.5,0,
285,32.74215,35.54064,768,2.5,1.5,0,
286,30.94185,35.4546,65,2.5,1.5,0,
287,32.82092,35.68243,789,2.5,1.5,0,
288,31.05326,35.47567,65,2.5,1.5,0,
289,31.19821,35.52873,65,2.5,1.5,0,
290,29.56022,34.95796,90,2.0,1.5,0,
291,30.44761,35.15428,90,2.0,1.5,0,
292,29.50861,34.92125,90,2.0,1.5,0,
293,30.7469,35.22819,90,2.0,1.5,0,
294,30.53245,35.18342,90,2.0,1.5,0,
295,30.27971,35.00198,40,2.0,1.5,0,
296,30.89917,35.43009,65,2.0,1.5,0,
297,29.77629,35.05778,65,2.0,1.5,0,
298,30.98424,34.93746,225,2.0,1.5,0,
299,31.01049,34.78,222,2.0,1.5,0,
300,32.57234,34.96045,652,2.0,1.5,0,
301,29.55407,34.92701,12,2.0,1.5,0,
302,29.98998,35.07648,40,2.0,1.5,0,
303,30.14249,35.13369,90,2.0,1.5,0,
304,30.10919,35.14451,90,2.0,1.5,0,
305,30.3427,35.23812,65,2.0,1.5,0,
306,31.06706,35.00582,204,2.0,1.5,0,
307,30.32757,34.9544,40,2.0,1.5,0,
308,29.84614,34.8389,12,2.0,1.5,0,
309,29.86094,35.03429,90,2.0,1.5,0,
310,30.41078,35.15233,90,2.0,1.5,0,
311,30.62316,35.19708,90,2.0,1.5,0,
312,30.6324,35.28274,65,2.0,1.5,0,
313,31.1867,34.55346,222,2.0,1.5,0,
314,30.82022,34.75359,40,2.0,1.5,0,
315,30.86023,35.26261,90,2.0,1.5,0,
316,30.16037,35.01785,40,2.0,1.5,0,
317,30.51011,34.9405,40,2.0,1.5,0,
318,29.99101,34.93851,12,2.0,1.5,0,
319,29.68388,34.86273,12,2.0,1.5,0,
320,32.57385,35.24934,675,2.0,1.5,0,
321,30.93837,34.8715,204,2.0,1.5,0,
322,30.94605,35.03921,225,2.0,1.5,0,
323,30.26525,35.13614,90,2.0,1.5,0,
324,29.70869,34.99795,90,2.0,1.5,0,
325,30.7723,35.35039,65,2.0,1.5,0,
326,30.48408,35.28928,65,2.0,1.5,0,
327,31.09654,34.66913,222,2.0,1.5,0,
328,30.04875,35.01425,40,2.0,1.5,0,
329,30.27935,35.05159,13,2.0,1.5,0,
330,32.55637,35.07875,672,2.0,1.5,0,
331,29.67408,35.02985,65,2.0,1.5,0,
332,30.42087,34.94255,40,2.0,1.5,0,
333,29.92133,34.88672,12,2.0,1.5,0,
334,29.76747,34.86564,12,2.0,1.5,0,
335,29.60663,34.87307,12,2.0,1.5,0,
336,30.18492,35.1348,90,2.0,1.5,0,
337,30.33822,35.16148,90,2.0,1.5,0,
338,30.95896,34.98538,225,2.0,1.5,0,
339,29.78313,35.0185,90,2.0,1.5,0,
340,29.63343,34.98858,90,2.0,1.5,0,
341,29.9316,35.06138,90,2.0,1.5,0,
342,30.07196,35.12898,90,2.0,1.5,0,
343,30.58725,35.19104,90,2.0,1.5,0,
344,29.90843,35.06395,90,2.0,1.5,0,
345,30.04599,35.10699,90,2.0,1.5,0,
346,30.70825,35.30354,65,2.0,1.5,0,
347,30.41037,35.2789,65,2.0,1.5,0,
348,30.84046,35.39359,65,2.0,1.5,0,
349,30.55768,35.26319,65,2.0,1.5,0,
350,31.01279,34.95835,204,2.0,1.5,0,
351,30.2299,35.01772,40,2.0,1.5,0,
352,30.98851,34.76532,40,1.8,1.5,0,
353,31.14146,35.35992,31,1.8,1.5,0,
354,31.03419,35.23205,25,1.8,1.5,0,
355,32.55022,35.1635,65,1.8,1.5,0,
356,31.04743,35.37777,90,1.8,1.5,0,
357,32.51281,35.11792,65,1.8,1.5,0,
358,30.96422,35.30403,90,1.8,1.5,0,
359,30.91333,34.77768,40,1.8,1.5,0,
360,31.13328,35.38617,90,1.8,1.5,0,
361,31.03831,35.15064,25,1.8,1.5,0,
362,32.53859,35.02841,6,1.5,1.5,0,
363,32.72946,35.65515,98,2.5,1.0,0,
364,32.78226,35.64081,92,2.5,1.0,0,
365,32.76892,35.69289,98,2.5,1.0,0,
366,31.0429,35.20036,258,2.0,1.0,0,
367,30.81407,35.24859,227,2.0,1.0,0,
368,30.91445,35.01758,206,2.0,1.0,0,
369,30.89877,35.13169,227,2.0,1.0,0,
370,31.014,35.08009,206,2.0,1.0,0,
371,31.061,34.8527,224,2.0,1.0,0,
372,32.55066,35.20219,66,1.8,1.0,0,
