area_name_hebrew,lat,lon,alerts_since_oct7_2023,geocoded
אזור תעשייה נשר,32.75,35.0167,623,yes
אזור תעשייה אפק ולב הארץ,32.09,34.92,620,yes
מצליח,31.9533,34.9297,619,yes
מתחם פי גלילות,32.1167,34.82,618,yes
עופרים,32.1128,34.9756,618,yes
כפר דניאל,31.9708,34.9969,616,yes
ערב אל עראמשה,33.0919,35.2469,616,yes
בית הלל,33.2,35.5467,615,yes
סתריה,33.0683,35.17,611,yes
גמזו,31.9667,34.9472,611,yes
בית אריה,32.0383,34.9811,611,yes
מבוא מודיעים,31.885,35.0161,610,yes
נאות קדומים,31.905,34.9856,609,yes
נען,31.8892,34.8244,607,yes
חניתה,33.0667,35.1111,607,yes
גיבתון,31.8747,34.8356,604,yes
יד רמב''ם,31.8753,34.8519,604,yes
נילי,32.0206,35.0206,603,yes
גני הדר,32.0367,34.8272,600,yes
רמות מאיר,31.8939,34.9711,598,yes
בית חשמונאי,31.9406,34.9953,598,yes
כפר שמואל,31.9028,34.9069,598,yes
מודיעין מכבים רעות,31.8981,35.0106,598,yes
עזריה,31.8769,35.0236,597,yes
גזר,31.8594,34.9294,597,yes
גן שלמה,31.8656,34.7903,596,yes
כפר ביל''ו,31.9,34.8167,596,yes
בית עוזיאל,31.8981,34.8769,595,yes
יציץ,31.9019,34.8261,593,yes
פדואל,32.0603,35.0692,593,yes
עלי זהב,32.1358,35.0394,592,yes
קריית עקרון,31.8581,34.8261,591,yes
חשמונאים,31.9378,35.0408,591,yes
גאליה,31.8519,34.7853,590,yes
משמר איילון,31.8561,34.9622,590,yes
שילת,31.94,35.0036,590,yes
פתחיה,31.9,34.9397,589,yes
פדיה,31.9044,34.9178,589,yes
לפיד,31.9197,35.0056,589,yes
נעלה,32.005,35.0733,589,yes
לימן,33.0519,35.1222,587,yes
כפר בן נון,31.8817,34.9778,586,yes
מתתיהו,31.9531,35.0453,586,yes
כפר האורנים,31.8339,35.03,586,yes
כפר שמריהו,32.1831,34.8258,585,yes
יערה,33.0594,35.1489,585,yes
נהריה,33.0044,35.0936,585,yes
גני יוחנן,31.8394,34.8539,584,yes
פלמחים,31.9081,34.6919,582,yes
הוד השרון,32.1507,34.8899,582,yes
מודיעין עילית,31.929,35.042,582,yes
מזכרת בתיה,31.8547,34.8394,581,yes
כרמי יוסף,31.8681,34.8636,581,yes
נוף איילון,31.8867,35.0244,578,yes
