area_name_hebrew,lat,lon,alerts_since_oct7_2023,geocoded
מעלה עמוס,31.7944097,34.8181481,348,yes
היישוב היהודי חברון,,,348,no
דיר אל-אסד,32.934772,35.2668276,347,yes
מצפה יריחו,,,347,no
אבן ספיר,31.7629815,35.1351189,346,yes
הילה,32.8098037,35.0700465,346,yes
טמרה,32.6340104,35.4039979,346,yes
חוות עדן,32.4657413,35.4869909,346,yes
שומריה,31.4317698,34.8857795,345,yes
משכיות,30.6272162,34.7759251,344,yes
חוות גנות,,,344,no
ניצן,31.7399419,34.6318163,343,yes
עמינדב,31.7511296,35.1419938,343,yes
פנימיית עין כרם,,,343,no
כפר בלום,33.1723656,35.6101218,343,yes
ינוח ג'ת,32.9736638,35.2328501,343,yes
בר יוחאי,32.9970032,35.4481169,341,yes
מירון,32.9886409,35.440278,341,yes
ירכא,32.9563109,35.2113522,341,yes
שייח' דנון,32.9943175,35.1479211,340,yes
חומש,32.3273839,35.0055443,340,yes
בית זית,31.7825806,35.1593248,339,yes
שפרעם,32.8045765,35.1723866,339,yes
רותם,31.2652918,35.2256532,339,yes
שלומציון,32.1353588,34.9018809,339,yes
כליל,32.9855303,35.2004778,338,yes
אורה,31.7527467,35.1534987,337,yes
נשר,32.7708797,35.0381249,337,yes
מחולה,32.04563,34.8327361,337,yes
שדמות מחולה,,,337,no
מתת,33.0415441,35.3598303,336,yes
לבון,32.9424551,35.2871026,336,yes
איילת השחר,33.0215976,35.5759521,336,yes
צורית גילון,32.9029028,35.2354622,336,yes
נס עמים,32.9656707,35.1211467,336,yes
כסרא סמיע,32.988357,35.319937,336,yes
שדה נחמיה,33.1869061,35.6245075,335,yes
נחף,32.9346509,35.3170091,335,yes
אושה,32.7955189,35.1144019,334,yes
מרכז אזורי מרום גליל,,,333,no
רמת יוחנן,32.7925038,35.1213847,332,yes
הדר ועיר תחתית,,,332,no
תובל,32.9290739,35.2447876,332,yes
אזור תעשייה כרמיאל,32.9236763,35.3165649,331,yes
צבעון,33.0255139,35.4159119,331,yes
כפר המכבי,32.7910628,35.1149003,331,yes
באר גנים,31.7000465,34.610653,330,yes
ריחאנייה,33.0482032,35.4872846,330,yes
חורפיש,33.01737,35.3469551,329,yes
נגוהות,31.500571,34.942379,329,yes
נאות מרדכי,33.160576,35.5965774,328,yes
אעבלין,32.8209166,35.19133,328,yes
מגדל תפן,32.9753916,35.2770876,328,yes
אלקוש,33.0341637,35.3241745,327,yes
עמיר,33.1787718,35.620776,326,yes
חוף אכזיב,33.0441001,35.1009872,326,yes
חוות אל נווה,32.0424736,34.8177487,326,yes
כיסופים,31.3741608,34.3994488,325,yes
אליאב,31.5294705,34.9292637,325,yes
נטע,31.4778481,34.9266422,325,yes
חוות אביה,,,325,no
אבו תלול,31.1861956,34.9128014,324,yes
בית העמק,32.9704922,35.1461366,324,yes
מצפה חגית,,,324,no
חרמש דרום,31.7270027,34.7519505,324,yes
אבו סנאן,32.958648,35.1716603,323,yes
עמקה,32.9792441,35.1642671,323,yes
שקף,31.5156708,34.9377978,323,yes
יסעור,32.9002755,35.166082,323,yes
כישור,32.945775,35.2495375,323,yes
ראס עלי,32.7721199,35.1542287,322,yes
בני דקלים,31.5174853,34.9199141,322,yes
אחיהוד,32.908312,35.1723837,322,yes
לפידות,32.9592382,35.2620596,322,yes
שדה אליעזר,33.0458869,35.5641252,321,yes
כאבול,32.8685838,35.2111948,321,yes
סכנין,32.8638052,35.3023184,321,yes
עלמה,33.0521283,35.4988072,320,yes
כפר חסידים,32.7519478,35.0935521,320,yes
קריית טבעון,32.7332039,35.1453385,320,yes
כפר סאלד,33.1946879,35.657851,319,yes
בסמת טבעון,32.7362276,35.1546502,319,yes
החווה של מנחם,,,319,no
ניצנים,31.7168321,34.634187,318,yes
נופית,32.7586157,35.14735,318,yes
אשחר,32.8851173,35.3001894,318,yes
ביר אלמכסור,32.778219,35.220564,317,yes
עספיא,32.7152045,35.0671011,317,yes
טל,32.0852997,34.7818064,317,yes
שכניה,32.8487331,35.246984,316,yes
ערב אל נעים,32.886567,35.292988,316,yes
רכסים,32.7509558,35.1013589,315,yes
שורשים,32.8927231,35.2599068,315,yes
כאוכב אבו אלהיג'א,,,315,no
מרכז אזורי משגב,32.8591178,35.2597137,315,yes
ג'וליס,32.9430618,35.1869431,315,yes
מצפה אבי''ב,32.8369091,35.2020716,315,yes
אזור תעשייה בר-לב,,,315,no
פלך,32.9338767,35.2335678,315,yes
בת הדר,31.646519,34.5960329,314,yes
עין יעקב,33.0095478,35.2292923,314,yes
קורנית,32.8436279,35.2513199,314,yes
אזור תעשייה תרדיון,,,314,no
עדי,32.781891,35.1736274,314,yes
בית עלמין תל רגב,32.7680588,35.1234039,314,yes
יגור,32.7428565,35.0781325,314,yes
אשבל,32.876801,35.3049739,314,yes
החווה של אורי כהן,,,314,no
חוות הרועה העברי,,,314,no
מכמנים,32.9061108,35.3287602,314,yes
כפר סילבר,31.6731584,34.6115749,313,yes
שער העמקים,32.7230505,35.1131062,313,yes
מנוף,32.8541336,35.2367706,313,yes
כפר מנדא,32.8114088,35.259756,313,yes
הרדוף,32.7641117,35.1728315,313,yes
סואעד חמירה,,,313,no
יסוד המעלה,33.0573811,35.6030157,313,yes
חוסנייה,32.9011973,35.3187983,313,yes
החווה של עשהאל,,,313,no
מורשת,32.8268051,35.2328758,312,yes
יודפת,32.8372367,35.2715538,312,yes
גיתה,32.9672482,35.249074,312,yes
אליפלט,32.9480271,35.547389,311,yes
שעב,32.8905934,35.2383757,311,yes
דמיידה,32.8154622,35.2271343,311,yes
כעביה טבאש,32.7483555,35.183866,311,yes
כפר יאסיף,32.9533067,35.165698,311,yes
הר חלוץ,32.950674,35.3121922,311,yes
כסייפה,31.2465374,35.0930574,310,yes
רקפת,32.8547224,35.2642924,310,yes
שעל,33.1164821,35.7165658,310,yes
כפר שמאי,32.9574173,35.4579027,310,yes
יובלים,32.8775051,35.2705626,310,yes
עצמון,32.1453197,34.8349388,310,yes
חוות יד השומר,,,310,no
ברכיה,31.6678257,34.6268196,309,yes
חוסן,32.9975754,35.2979856,309,yes
איבטין,32.7607812,35.1131894,309,yes
אשרת,32.9717328,35.1564958,309,yes
מעלה צביה,32.8894552,35.3306239,309,yes
ניר ישראל,31.6873424,34.6364148,308,yes
