alert_rank,aadt_rank,lat,lon,road,risk_score,lanes_weight,aadt_vehicles_per_day,nearby_alerts_15km
181,560,31.6835487,34.6530558,232,4.0,1.0,7000,19356
182,575,31.681540499283685,34.6520032313883,232,2.0,1.0,7000,19356
183,51,33.0350761,35.1046283,4,4.0,1.5,40000,19228
184,61,33.0456259,35.105751,4,4.0,1.5,40000,19228
185,377,32.8893397,35.2571165,784,2.0,1.0,8000,19211
186,463,32.8881594,35.2563652,784,2.0,1.0,8000,19211
187,48,33.025906,35.1038606,4,4.0,1.5,40000,18934
188,50,33.0280395,35.1040938,4,4.0,1.5,40000,18934
189,54,32.880303177611694,35.096606451629576,4,4.0,1.5,40000,18785
190,78,32.36689131279233,34.909569696230605,4,1.8,1.5,40000,18454
191,200,32.9232956543936,35.08658129103854,85,4.0,1.5,15000,18113
192,381,32.8210789,35.2289327,784,2.0,1.0,8000,18089
193,456,32.8246202,35.1642837,781,2.0,1.5,8000,17884
194,508,32.9559206,35.3521151,864,4.0,1.0,8000,17729
195,367,32.9165656,35.3708556,804,4.0,1.0,8000,17545
196,406,32.9139081,35.3731314,804,4.0,1.0,8000,17545
197,30,31.695743262298777,34.814553374574835,6,1.5,1.5,48000,17405
198,380,32.8391522,35.2570998,784,2.0,1.0,8000,17336
199,56,32.89628971298447,35.09340092865291,4,4.0,1.5,40000,17232
200,183,32.804861280916654,35.15306421311178,79,1.8,1.5,18000,16735
201,378,32.8588941,35.2651508,784,2.0,1.0,8000,16693
202,379,32.8546517,35.2697224,784,2.0,1.0,8000,16693
203,149,31.691702556301795,34.75999071966174,40,1.8,1.5,22000,16547
204,484,32.3810254,34.9927793,581,2.0,1.0,8000,16256
205,209,31.7084332,34.9496062,38,1.8,1.5,14000,16168
206,9,32.381842776431014,34.865504899053654,2,1.5,2.0,75000,15879
207,370,32.3930038,34.9222457,581,2.0,1.0,8000,15784
208,372,32.3939574,34.9229473,581,2.0,1.0,8000,15784
209,163,32.789281340118364,35.14009101290014,70,4.0,1.5,20000,15774
210,546,32.8046325,35.1039729,780,2.0,1.5,8000,15710
211,290,33.0207003,35.3327817,89,4.0,1.5,9000,15541
212,375,32.8603856,35.3054985,805,2.0,1.0,8000,15485
213,376,32.8102974,35.2521308,784,2.0,1.0,8000,15370
