rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,base_capacity,suggested_capacity,capacity_upgraded,upgrade_reason,alert_seconds
173,32.90057,35.61115,87,Standard,0.1409,2007,trunk,80,6.67,8000,800,15.6,20,20,no,,300
174,30.93828,34.58878,211,Gaza envelope,0.1395,0,primary,90,7.5,8000,800,15.6,20,20,no,,300
175,30.90461,34.49691,211,Gaza envelope,0.138,0,primary,90,7.5,8000,800,15.6,20,20,no,,300
176,32.87232,35.54062,90,Standard,0.1335,1983,trunk,80,6.67,9000,900,17.6,20,20,no,,300
177,32.35022,35.00667,582,Standard,0.1322,14477,primary,90,7.5,8000,800,15.6,20,20,no,,300
178,30.8825,34.39305,primary,Gaza envelope,0.1253,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
179,32.36079,34.86679,כביש החוף,Standard,0.1247,13656,motorway,90,7.5,8000,800,15.6,20,20,no,,300
180,31.32146,34.88618,31,Gaza envelope,0.1237,1062,trunk,70,5.83,6500,650,12.7,20,20,no,,300
181,31.69666,35.01068,עוקף בית שמש,Standard,0.121,12387,primary,70,5.83,4000,400,7.8,12,12,no,,300
182,32.68643,35.06666,672,Standard,0.1192,4929,primary,50,4.17,8000,800,15.6,20,20,no,,300
183,31.45936,34.91479,358,Standard,0.1189,1527,primary,80,6.67,8000,800,15.6,20,20,no,,300
184,32.70048,35.20778,דרך העמקים,Standard,0.1172,5140,trunk,80,6.67,14000,1400,27.3,30,30,no,,300
185,31.5361,34.92017,358,Standard,0.1165,1527,primary,80,6.67,4000,400,7.8,12,12,no,,300
186,32.8454,35.51626,90,Standard,0.1163,1983,trunk,80,6.67,9000,900,17.6,20,20,no,,300
187,32.38111,34.99238,581,Standard,0.1157,12669,primary,60,5.0,4000,400,7.8,12,12,no,,300
188,32.38041,34.90748,כביש חיפה רעננה,Standard,0.1149,12584,trunk,90,7.5,8000,800,15.6,20,20,no,,300
189,32.70974,34.95217,כביש החוף,Standard,0.1117,2891,primary,80,6.67,8000,800,15.6,20,20,no,,300
190,31.11922,34.81323,40,Gaza envelope,0.1101,1014,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
191,30.95655,34.67235,211,Gaza envelope,0.1096,0,primary,90,7.5,8000,800,15.6,20,20,no,,300
192,32.75307,35.34331,754,Standard,0.1061,3495,primary,80,6.67,8000,800,15.6,20,20,no,,300
193,32.39689,34.92828,581,Standard,0.1058,11583,primary,60,5.0,4000,400,7.8,12,12,no,,300
194,32.395,34.87165,כביש החוף,Standard,0.103,11283,motorway,100,8.33,8000,800,15.6,20,20,no,,300
195,32.36165,35.02999,574,Standard,0.1019,11155,primary,80,6.67,8000,800,15.6,20,20,no,,300
196,31.31604,34.91218,60,Standard,0.1006,1287,trunk,90,7.5,16000,1600,31.2,50,50,no,,300
